iter	Passed	Remaining
401	18431	27418
402	18468	27358
403	18504	27299
404	18540	27238
405	18574	27175
406	18611	27116
407	18644	27052
408	18678	26990
409	18714	26930
410	18745	26864
411	18779	26802
412	18814	26740
413	18847	26678
414	18882	26617
415	18918	26557
416	18955	26501
417	18991	26442
418	19036	26396
419	19097	26372
420	19153	26342
421	19211	26313
422	19258	26269
423	19298	26216
424	19337	26162
425	19378	26110
426	19427	26069
427	19484	26039
428	19516	25976
429	19548	25912
430	19583	25853
431	19618	25794
432	19651	25733
433	19684	25671
434	19715	25607
435	19752	25550
436	19784	25489
437	19820	25432
438	19854	25372
439	19891	25315
440	19924	25255
441	19963	25202
442	19996	25142
443	20032	25085
444	20067	25027
445	20099	24966
446	20135	24909
447	20168	24850
448	20201	24790
449	20234	24731
450	20272	24678
451	20308	24621
452	20340	24561
453	20374	24503
454	20408	24445
455	20438	24382
456	20476	24330
457	20514	24276
458	20547	24218
459	20582	24161
460	20614	24102
461	20646	24042
462	20679	23985
463	20715	23930
464	20749	23873
465	20783	23816
466	20815	23756
467	20858	23711
468	20914	23679
469	20962	23638
470	21004	23590
471	21052	23549
472	21103	23512
473	21153	23474
474	21206	23438
475	21255	23398
476	21306	23361
477	21341	23306
478	21375	23249
479	21411	23195
480	21459	23155
481	21501	23107
482	21540	23056
483	21577	23004
484	21613	22950
485	21648	22895
486	21693	22851
487	21738	22807
488	21772	22752
489	21805	22696
490	21857	22658
491	21892	22604
492	21929	22552
493	21962	22495
494	21996	22440
495	22028	22384
496	22061	22327
497	22100	22278
498	22142	22231
499	22181	22181
500	22235	22146
501	22281	22104
502	22328	22061
503	22371	22016
504	22418	21974
505	22460	21927
506	22506	21884
507	22548	21838
508	22590	21791
509	22657	21769
510	22710	21733
511	22744	21678
512	22785	21630
513	22817	21574
514	22851	21520
515	22884	21465
516	22922	21414
517	22959	21363
518	22994	21310
519	23029	21258
520	23061	21202
521	23127	21177
522	23166	21128
523	23204	21078
524	23235	21022
525	23269	20969
526	23305	20917
527	23370	20891
528	23422	20854
529	23480	20822
530	23559	20808
531	23615	20774
532	23667	20736
533	23726	20705
534	23800	20686
535	23843	20640
536	23885	20593
537	23953	20570
538	23997	20524
539	24043	20481
540	24088	20437
541	24129	20389
542	24174	20345
543	24220	20302
544	24260	20253
545	24303	20208
546	24340	20157
547	24377	20106
548	24416	20057
549	24453	20007
550	24489	19956
551	24523	19903
552	24556	19849
553	24593	19798
554	24627	19745
555	24658	19691
556	24693	19639
557	24727	19587
558	24760	19533
559	24791	19478
560	24825	19426
561	24859	19374
562	24913	19338
563	24988	19317
564	25033	19273
565	25079	19230
566	25125	19187
567	25168	19142
568	25230	19111
569	25294	19081
570	25334	19034
571	25368	18982
572	25404	18931
573	25457	18893
574	25493	18842
575	25541	18801
576	25587	18758
577	25625	18709
578	25693	18682
579	25746	18644
580	25784	18595
581	25814	18539
582	25847	18487
583	25880	18435
584	25916	18385
585	25950	18333
586	25984	18282
587	26016	18229
588	26049	18177
589	26082	18125
590	26112	18071
591	26146	18019
592	26182	17970
593	26217	17920
594	26254	17870
595	26286	17818
596	26318	17766
597	26353	17715
598	26384	17663
599	26418	17612
600	26451	17560
601	26484	17509
602	26517	17458
603	26550	17407
604	26587	17358
605	26619	17307
606	26654	17257
607	26690	17208
608	26726	17159
609	26759	17108
610	26795	17059
611	26824	17006
612	26855	16954
613	26886	16902
614	26922	16853
615	26953	16802
616	26988	16752
617	27020	16702
618	27051	16650
619	27083	16599
620	27117	16549
621	27153	16501
622	27183	16450
623	27226	16405
624	27259	16355
625	27295	16307
626	27329	16258
627	27364	16209
628	27396	16159
629	27440	16116
630	27477	16068
631	27509	16018
632	27544	15969
633	27579	15921
634	27611	15870
635	27643	15820
636	27675	15771
637	27710	15723
638	27743	15673
639	27776	15624
640	27809	15574
641	27846	15528
642	27880	15479
643	27915	15431
644	27948	15382
645	27981	15333
646	28017	15285
